block_size,grid_scale_x,use_shared,use_unroll,register_limit,work_per_thread,stride_access,threads_per_block,gflops,msec_per_matmul,pass_fail,avg_power_watts,exec_time_sec,power_log_duration,exit_code,cuda_error_str,power_log_path
4,1.5,0,1,64,1,2,16,46.040517,0.005560,FAIL,41.727,0.236,61,1,,power_logs_all_configs/power_b4_g1.5_s0_u1_r64_w1_str2.log
4,1.5,0,1,64,2,1,16,40.927347,0.012510,PASS,41.880,0.235,61,0,,power_logs_all_configs/power_b4_g1.5_s0_u1_r64_w2_str1.log
4,1.5,0,1,64,2,2,16,64.884158,0.007891,FAIL,41.784,0.237,61,1,,power_logs_all_configs/power_b4_g1.5_s0_u1_r64_w2_str2.log
4,1.5,0,1,64,4,1,16,80.887744,0.012660,PASS,41.721,0.236,61,0,,power_logs_all_configs/power_b4_g1.5_s0_u1_r64_w4_str1.log
4,1.5,0,1,64,4,2,16,132.158590,0.007748,FAIL,41.707,0.236,61,1,,power_logs_all_configs/power_b4_g1.5_s0_u1_r64_w4_str2.log
4,1.5,0,1,128,1,1,16,23.357210,0.010960,PASS,41.758,0.238,61,0,,power_logs_all_configs/power_b4_g1.5_s0_u1_r128_w1_str1.log
4,1.5,0,1,128,1,2,16,46.040517,0.005560,FAIL,41.732,0.235,61,1,,power_logs_all_configs/power_b4_g1.5_s0_u1_r128_w1_str2.log
4,1.5,0,1,128,2,1,16,40.883075,0.012524,PASS,41.759,0.234,61,0,,power_logs_all_configs/power_b4_g1.5_s0_u1_r128_w2_str1.log
4,1.5,0,1,128,2,2,16,64.850848,0.007895,FAIL,41.804,0.200,61,1,,power_logs_all_configs/power_b4_g1.5_s0_u1_r128_w2_str2.log
4,1.5,0,1,128,4,1,16,80.927972,0.012653,PASS,41.766,0.238,61,0,,power_logs_all_configs/power_b4_g1.5_s0_u1_r128_w4_str1.log
4,1.5,0,1,128,4,2,16,132.160401,0.007748,FAIL,41.747,0.238,61,1,,power_logs_all_configs/power_b4_g1.5_s0_u1_r128_w4_str2.log
4,1.5,1,0,32,1,1,16,18.675300,0.013708,PASS,41.718,0.235,61,0,,power_logs_all_configs/power_b4_g1.5_s1_u0_r32_w1_str1.log
4,1.5,1,0,32,1,2,16,23.824651,0.010745,FAIL,41.528,0.236,61,1,,power_logs_all_configs/power_b4_g1.5_s1_u0_r32_w1_str2.log
4,1.5,1,0,32,2,1,16,59.547437,0.008598,PASS,41.760,0.236,61,0,,power_logs_all_configs/power_b4_g1.5_s1_u0_r32_w2_str1.log
4,1.5,1,0,32,2,2,16,47.679593,0.010738,FAIL,41.858,0.228,61,1,,power_logs_all_configs/power_b4_g1.5_s1_u0_r32_w2_str2.log
